target,position,layer,top1_first_digit,top1_shuffled
s1,dot_5,13,0.136,0.09
s2,dot_5,13,0.133,0.12
answer,dot_5,14,0.099,0.096
s1,dot_5,14,0.077,0.107
s2,dot_5,14,0.108,0.1
answer,dot_5,15,0.094,0.1
s1,dot_5,15,0.106,0.111
s2,dot_5,15,0.108,0.078
answer,dot_5,16,0.087,0.101
s1,dot_5,16,0.091,0.079
s2,dot_5,16,0.104,0.102
answer,dot_5,17,0.108,0.115
s1,dot_5,17,0.116,0.095
s2,dot_5,17,0.11,0.12
answer,dot_5,18,0.088,0.08
s1,dot_5,18,0.125,0.106
s2,dot_5,18,0.09,0.101
answer,dot_5,19,0.099,0.119
s1,dot_5,19,0.106,0.092
s2,dot_5,19,0.1,0.121
answer,dot_5,20,0.112,0.114
s1,dot_5,20,0.1,0.098
s2,dot_5,20,0.122,0.127
answer,dot_5,21,0.133,0.139
s1,dot_5,21,0.112,0.074
s2,dot_5,21,0.153,0.155
answer,dot_5,22,0.131,0.108
s1,dot_5,22,0.078,0.066
s2,dot_5,22,0.136,0.136
answer,dot_5,23,0.146,0.133
s1,dot_5,23,0.129,0.082
s2,dot_5,23,0.13,0.148
answer,dot_5,24,0.144,0.126
s1,dot_5,24,0.097,0.082
s2,dot_5,24,0.147,0.139
answer,dot_5,25,0.163,0.134
s1,dot_5,25,0.093,0.082
s2,dot_5,25,0.171,0.162
answer,dot_5,26,0.117,0.108
s1,dot_5,26,0.09,0.106
s2,dot_5,26,0.125,0.132
answer,dot_5,27,0.124,0.135
s1,dot_5,27,0.1,0.096
s2,dot_5,27,0.137,0.161
answer,dot_5,28,0.103,0.128
s1,dot_5,28,0.083,0.095
s2,dot_5,28,0.114,0.132
answer,dot_6,0,0.029,0.029
s1,dot_6,0,0.105,0.105
s2,dot_6,0,0.003,0.003
answer,dot_6,1,0.086,0.1
s1,dot_6,1,0.088,0.098
s2,dot_6,1,0.077,0.098
answer,dot_6,2,0.103,0.088
s1,dot_6,2,0.109,0.099
s2,dot_6,2,0.092,0.107
answer,dot_6,3,0.081,0.108
s1,dot_6,3,0.082,0.09
s2,dot_6,3,0.084,0.109
answer,dot_6,4,0.092,0.14
s1,dot_6,4,0.091,0.096
s2,dot_6,4,0.101,0.147
answer,dot_6,5,0.098,0.132
s1,dot_6,5,0.062,0.083
s2,dot_6,5,0.102,0.149
answer,dot_6,6,0.118,0.122
s1,dot_6,6,0.093,0.083
s2,dot_6,6,0.112,0.141
answer,dot_6,7,0.126,0.114
s1,dot_6,7,0.069,0.094
