target,position,layer,top1_first_digit,top1_shuffled
c1x,dot_1,28,0.118,0.112
y,dot_1,28,0.116,0.12
c2y,dot_1,28,0.072,0.079
answer,dot_2,0,0.195,0.195
x,dot_2,0,0.127,0.127
c1x,dot_2,0,0.045,0.045
y,dot_2,0,0.048,0.048
c2y,dot_2,0,0.188,0.188
answer,dot_2,1,0.103,0.107
x,dot_2,1,0.092,0.109
c1x,dot_2,1,0.13,0.115
y,dot_2,1,0.133,0.122
c2y,dot_2,1,0.1,0.112
answer,dot_2,2,0.094,0.125
x,dot_2,2,0.098,0.085
c1x,dot_2,2,0.15,0.137
y,dot_2,2,0.146,0.147
c2y,dot_2,2,0.092,0.111
answer,dot_2,3,0.094,0.106
x,dot_2,3,0.1,0.094
c1x,dot_2,3,0.142,0.124
y,dot_2,3,0.133,0.124
c2y,dot_2,3,0.09,0.115
answer,dot_2,4,0.105,0.113
x,dot_2,4,0.101,0.091
c1x,dot_2,4,0.114,0.097
y,dot_2,4,0.11,0.123
c2y,dot_2,4,0.104,0.102
answer,dot_2,5,0.099,0.073
x,dot_2,5,0.096,0.088
c1x,dot_2,5,0.103,0.094
y,dot_2,5,0.093,0.105
c2y,dot_2,5,0.089,0.09
answer,dot_2,6,0.1,0.092
x,dot_2,6,0.102,0.091
c1x,dot_2,6,0.107,0.107
y,dot_2,6,0.105,0.104
c2y,dot_2,6,0.095,0.099
answer,dot_2,7,0.105,0.097
x,dot_2,7,0.116,0.109
c1x,dot_2,7,0.1,0.119
y,dot_2,7,0.114,0.108
c2y,dot_2,7,0.111,0.112
answer,dot_2,8,0.098,0.084
x,dot_2,8,0.105,0.092
c1x,dot_2,8,0.092,0.103
y,dot_2,8,0.079,0.097
c2y,dot_2,8,0.098,0.092
answer,dot_2,9,0.102,0.08
x,dot_2,9,0.087,0.112
c1x,dot_2,9,0.086,0.092
y,dot_2,9,0.086,0.095
c2y,dot_2,9,0.105,0.092
answer,dot_2,10,0.105,0.091
x,dot_2,10,0.093,0.101
